Symbol słupka;Nazwa przyst.;Ulica;Współrzędne geograficzne
1(02);Armii Krajowej;Warszawska;20.46610051596993,53.76700831997809
2(02);Osiedle Podgrodzie;Warszawska;20.46905848382988,53.76938280982222
3(03);Jakubowo;Wojska Polskiego;20.48220399398008,53.79761058035285
4(01);Osiedle Podgrodzie;Warszawska;20.46897958622893,53.76965646132724
5(02);Partyzantów;Partyzantów;20.49097967050682,53.78347444481696
6(01);Wioślarska;Bałtycka;20.42681614215348,53.7981093399582
7(01);Mickiewicza;Kopernika;20.48798984597289,53.77980071957366
8(01);Uniwersytet-Słoneczna;Dybowskiego;20.44975017079236,53.74777369745323
9(01);Limanowskiego;Limanowskiego;20.49136495937857,53.78895209588134
10(02);Wioślarska;Bałtycka;20.42701175286005,53.79795630179322
11(01);Wrocławska;Jagiellońska;20.49589054332829,53.79282846597231
12(01);Bydgoska;Jagiellońska;20.49907817352064,53.79631451830733
13(04);Sikorskiego-Wilczyńskiego;Sikorskiego;20.48658299485766,53.74068267719449
14(02);Bydgoska;Jagiellońska;20.49978928309387,53.79699025393055
15(02);Wrocławska;Jagiellońska;20.49645396413748,53.79370569846424
16(02);Limanowskiego;Limanowskiego;20.49144355834192,53.78782715582429
17(03);Żelazna;Składowa;20.50716667,53.78333333
18(02);Mickiewicza;Kopernika;20.48714874032722,53.77934157716543
19(02);Park Naukowo-Technologiczny - L2;Trylińskiego;20.51802074113022,53.76394453254179
20(03);Wojewódzki Ośrodek Ruchu Drogowego;Sprzętowa;20.52481719585215,53.78042243334284
21(02);Cmentarz Dywity-Brama Wschodnia;Wadąska;20.49285899251198,53.82254531499917
22(02);Indykpol;Jesienna;20.54617634516874,53.8038191119045
23(07);Dworzec Główny;Partyzantów;20.49934722,53.78241667
24(03);Krasickiego-Wilczyńskiego;Wilczyńskiego;20.51095103102011,53.74220319494859
25(03);Plac Roosevelta;Śliwy;20.47494567211829,53.77266879058768
26(09);Dworzec Główny;Kościuszki;20.49718793924621,53.78426360299338
27(01);Armii Krajowej;Warszawska;20.46625006010557,53.76744478496413
28(02);Zakład Gazowniczy;Lubelska;20.53451622560657,53.78588019542062
29(02);Budowlana;Lubelska;20.5294948216862,53.78646239385474
30(01);Osiedle Podleśna;Wiosenna;20.50198684923213,53.79817485123576
31(02);Plac Roosevelta;Szrajbera;20.477294898098,53.77357806266717
32(02);Izba Administracji Skarbowej;Lubelska;20.52588133667671,53.78690750124812
33(02);Chłodnia Olsztyn;Lubelska;20.52004343591145,53.7870934713433
34(02);Stalowa;Lubelska;20.51497079276102,53.78618175903851
35(01);Barczewskiego;Borkowskiego;20.47568748,53.76826047000001
36(02);Makro;Lubelska;20.50842532456861,53.78546599284696
37(01);Osiedle Generałów;Wilczyńskiego;20.47966643474662,53.73948615066205
38(01);Borkowskiego;Borkowskiego;20.47450699254726,53.76714231835755
39(02);Nagórki;Wańkowicza;20.50004220689559,53.75346796155178
40(01);Wysoka Brama;pl. Jedności Słowiańskiej;20.47827064599574,53.77744959513878
41(04);Likusy;Bałtycka;20.43161304772156,53.79529709961916
42(02);Borkowskiego;Borkowskiego;20.47448698854237,53.76708673238985
43(01);Straż Pożarna;Niepodległości;20.47887064241363,53.77217089280722
44(01);Plac Roosevelta;Mochnackiego;20.47524251244591,53.77357006703202
45(01);Grunwaldzka;Grunwaldzka;20.46929175869343,53.7761510143508
46(01);Jezioro Długie;Bałtycka;20.46311836131905,53.77862777476971
47(01);Jeziorna;Bałtycka;20.45776096795985,53.78180578296571
48(01);Zespół Szkół Ekonomicznych;Bałtycka;20.45275021197627,53.78479479323096
49(01);Grabowa;Bałtycka;20.44482732380832,53.78889799209715
50(01);Wędkarska;Bałtycka;20.43940751422467,53.7912341995221
51(01);Letniskowa;Bałtycka;20.43535419894907,53.79286260224185
52(02);Likusy;Wczasowa;20.43124930635218,53.79630268334807
53(01);Kanarkowa;Bałtycka;20.41227114781443,53.80041356701762
54(02);Letniskowa;Bałtycka;20.43532472486332,53.79271348406302
55(01);Poranna;Bałtycka;20.40804839973247,53.80197588608717
56(01);Żurawia;Bałtycka;20.40538607695509,53.80288615765635
57(01);Sokola;Bałtycka;20.40095642211482,53.80549011419407
58(02);Sokola;Bałtycka;20.40154812751511,53.8048476555232
59(02);Żurawia;Bałtycka;20.40461254156399,53.8031304067597
60(02);Poranna;Bałtycka;20.40889571248239,53.80161857081968
61(02);Kanarkowa;Bałtycka;20.41535202436029,53.79958068610597
62(03);Cmentarz Dywity-Brama Wschodnia;Wadąska;20.49295416048322,53.82254157519383
63(02);Wędkarska;Bałtycka;20.44073315006655,53.7906058112854
64(02);Grabowa;Bałtycka;20.44535782238531,53.78813932471304
65(02);Zespół Szkół Ekonomicznych;Bałtycka;20.45145224118381,53.78526276573414
66(02);Jeziorna;Bałtycka;20.45907080453811,53.78079685779683
67(02);Targowisko Miejskie;Grunwaldzka;20.4665253418563,53.77705945426406
68(02);Grunwaldzka;Grunwaldzka;20.47044064548069,53.77561608295195
69(02);Barczewskiego;Borkowskiego;20.47605498073348,53.76872759343445
70(01);Dom Kombatanta;Fałata;20.48985051583653,53.80036660364332
71(01);Teatr im. S. Jaracza;1 Maja;20.4803947427086,53.77992636192576
72(01);Partyzantów;Kajki;20.48722222,53.78231389
73(11);Dworzec Główny;Dworcowa;20.49904917518361,53.78350495690513
74(04);Dworzec Główny;pl. Konstytucji 3 Maja;20.49842222,53.78458333
75(01);Makro;Lubelska;20.50939199118862,53.7854255043917
76(01);Stalowa;Lubelska;20.51348458470521,53.78588469498249
77(01);Chłodnia Olsztyn;Lubelska;20.52029488356499,53.78706585331081
78(01);Izba Administracji Skarbowej;Lubelska;20.52649908841953,53.78678308874126
79(01);Budowlana;Lubelska;20.5295748508483,53.78640677908715
80(01);Zakład Gazowniczy;Lubelska;20.5350887861659,53.78569456330737
81(02);Orłowicza;Wańkowicza;20.49442143339639,53.75344656073901
82(06);Galeria Warmińska;Sikorskiego;20.4863731198904,53.75366295876816
83(02);Synów Pułku-Ogrody;Synów Pułku;20.4921533986176,53.75651990862462
84(04);Plaża Miejska;Kapitańska;20.45018901838558,53.77680676939513
85(03);Plaża Miejska;Kapitańska;20.45017973466331,53.7769105383229
86(04);Zatoka Miła;Miła;20.44023028896311,53.7732419920222
87(02);5 Wileńskiej Brygady AK;Wyszyńskiego;20.50178395634578,53.76375128887011
88(02);Piłsudskiego;Wyszyńskiego;20.50726342705842,53.76845704340626
89(02);Stadion Stomil;Piłsudskiego;20.50671148158148,53.77136004358172
90(01);Dworcowa-Przychodnia;Dworcowa;20.50155508056663,53.77344106138115
91(01);Kołobrzeska;Dworcowa;20.50173705903468,53.7782705681634
92(12);Dworzec Główny;Dworcowa;20.49870646285125,53.78353724308349
93(01);Iwaszkiewicza-Szkoła;Iwaszkiewicza;20.46985292422399,53.75861517271108
94(01);Kutrzeby;Kutrzeby;20.48159734664873,53.74152711390084
95(02);Kołobrzeska;Dworcowa;20.50131879435423,53.77841434796438
96(02);Dworcowa-Przychodnia;Dworcowa;20.50173842476805,53.77433662031408
97(01);Hallera;Hallera;20.47793279765865,53.74146537748628
